id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
1,6913.0,339.0,18.0,Vernon,BCHL,1981-07-22,"Kelowna, BC  CAN",CAN,15227.0,2000-06-25,47,2000,1,Ken,74.0,Magowan,,198,1,8468678.0,Ken Magowan,LW,N,,7,L,N,NJD (from ATL),NJD,207.0
2,7364.0,59.0,20.0,Oshawa,OHL,1980-04-27,"Mississauga, ON  CAN",CAN,18991.0,2000-06-25,47,2000,30,Brian,71.0,Passmore,,199,2,8468190.0,Brian Passmore,C,N,,7,L,N,MIN,MIN,180.0
3,6639.0,64.0,18.0,TPS Jr.,FINLAND,1982-04-22,"Turku, Finland",FIN,35582.0,2000-06-25,47,2000,29,Janne,69.0,Jokila,,200,3,8468680.0,Janne Jokila,LW,N,,7,L,N,CBJ,CBJ,169.0
4,7166.0,227.0,19.0,Molot Perm,Russia,1980-11-11,"Nizhny Tagil, Russia",RUS,31717.0,2000-06-25,47,2000,26,Evgeny,69.0,Federov,,201,4,8468681.0,Evgeny Federov,C,N,,7,L,N,LAK (from TBL),LAK,172.0
5,6950.0,10.0,19.0,Thunder Bay,UHL,1981-06-15,"Deloraine, MB  CAN",CAN,3340.0,2000-06-25,47,2000,2,Ryan,74.0,Caldwell,,202,5,8468682.0,Ryan Caldwell,D,N,,7,L,N,NYI (from NYI),NYI,174.0
6,7020.0,80.0,19.0,Green Bay,USHL,1981-04-06,"Ljubljana, Slovenia",SVN,19227.0,2000-06-25,47,2000,18,Jure,73.0,Penko,,203,6,8468683.0,Jure Penko,G,N,,7,L,N,NSH,NSH,185.0
7,6837.0,263.0,18.0,Sarnia,OHL,1981-10-06,"Scarborough, ON  CAN",CAN,1662.0,2000-06-25,47,2000,6,Chris,76.0,Berti,,204,7,8468684.0,Chris Berti,F,N,,7,L,N,BOS,BOS,206.0
8,6690.0,115.0,18.0,Frolunda,Sweden,1982-03-02,"Are, Sweden",SWE,39937.0,2000-06-25,47,2000,3,Henrik,73.0,Lundqvist,,205,8,8468685.0,Henrik Lundqvist,G,N,,7,L,N,NYR,NYR,195.0
9,6715.0,141.0,18.0,Frolunda,Sweden,1982-02-05,"Sodertalje, Sweden",SWE,31500.0,2000-06-25,47,2000,26,Tim,69.0,Eriksson,,206,9,8468686.0,Tim Eriksson,C,N,,7,L,N,LAK (from CGY),LAK,161.0
10,6988.0,48.0,19.0,U. of Maine,NCAA,1981-05-08,"Pittsburgh, PA  USA",USA,14706.0,2000-06-25,47,2000,16,Cliff,74.0,Loya,,207,10,8468687.0,Cliff Loya,D,N,,7,L,N,CHI,CHI,200.0
